parameter,value,scenario,GWP,MSP,E_kWh,GWP_credited
cao_field,0.30000000000000004,LC3_A,0.14898096773129754,4.436758417397297,0.011296137050506673,0.13833656098033187
cao_field,0.30000000000000004,LC3_B,0.14898096773129754,4.917450857251416,0.011296137050506673,0.13833656098033187
cao_field,0.35000000000000003,IL_A,0.21134441233517126,5.184732178919544,0.01315628658444718,0.19894717732368145
cao_field,0.35000000000000003,IL_B,0.21134441233517126,5.665424618773663,0.01315628658444718,0.19894717732368145
cao_field,0.35000000000000003,FA_A,0.15419414289615663,4.486381801638287,0.01315628658444718,0.1417969078846668
cao_field,0.35000000000000003,FA_B,0.15419414289615663,4.967074241492407,0.01315628658444718,0.1417969078846668
cao_field,0.35000000000000003,BC_A,0.16565626869861766,6.363060353910916,0.01315628658444718,0.15325903368712784
cao_field,0.35000000000000003,BC_B,0.14527376817116736,5.173343526537073,0.01315628658444718,0.13287653315967754
cao_field,0.35000000000000003,LC3_A,0.15073379599182168,4.436758417397297,0.01315628658444718,0.13833656098033187
cao_field,0.35000000000000003,LC3_B,0.15073379599182168,4.917450857251416,0.01315628658444718,0.13833656098033187
cao_field,0.4,IL_A,0.21309125504803936,5.184732178919544,0.015010084090677096,0.19894717732368145
cao_field,0.4,IL_B,0.21309125504803936,5.665424618773663,0.015010084090677096,0.19894717732368145
cao_field,0.4,FA_A,0.15594098560902475,4.486381801638287,0.015010084090677096,0.14179690788466684
cao_field,0.4,FA_B,0.15594098560902475,4.967074241492407,0.015010084090677096,0.14179690788466684
cao_field,0.4,BC_A,0.1663207980092282,6.388353449295918,0.015010084090677096,0.15217672028487028
cao_field,0.4,BC_B,0.14554229337159827,5.177861335514899,0.015010084090677096,0.13139821564724036
cao_field,0.4,LC3_A,0.1524806387046898,4.436758417397297,0.015010084090677096,0.1383365609803319
cao_field,0.4,LC3_B,0.1524806387046898,4.917450857251416,0.015010084090677096,0.1383365609803319
cao_field,0.45,IL_A,0.21483214282011287,5.184732178919544,0.016857562050039136,0.19894717732368145
cao_field,0.45,IL_B,0.21483214282011287,5.665424618773663,0.016857562050039136,0.19894717732368145
cao_field,0.45,FA_A,0.15768187338109824,4.486381801638287,0.016857562050039136,0.1417969078846668
cao_field,0.45,FA_B,0.15768187338109824,4.967074241492407,0.016857562050039136,0.1417969078846668
cao_field,0.45,BC_A,0.16698306195692317,6.413503149840947,0.016857562050039136,0.15109809646049174
cao_field,0.45,BC_B,0.14580990317669418,5.18233221309043,0.016857562050039136,0.12992493768026275
cao_field,0.45,LC3_A,0.1542215264767633,4.436758417397297,0.016857562050039136,0.13833656098033187
cao_field,0.45,LC3_B,0.1542215264767633,4.917450857251416,0.016857562050039136,0.13833656098033187
util,0.8,IL_A,0.21225268576238854,5.184732178919544,0.014120171313133338,0.19894717732368145
util,0.8,IL_B,0.21225268576238854,5.665424618773663,0.014120171313133338,0.19894717732368145
util,0.8,FA_A,0.1551024163233739,4.486381801638287,0.014120171313133338,0.1417969078846668
util,0.8,FA_B,0.1551024163233739,4.967074241492407,0.014120171313133338,0.1417969078846668
util,0.8,BC_A,0.16833683638157979,6.354447776032295,0.014120171313133338,0.1550313279428727
util,0.8,BC_B,0.14835169687037508,5.1858137827926,0.014120171313133338,0.135046188431668
util,0.8,LC3_A,0.15164206941903896,4.436758417397297,0.014120171313133338,0.13833656098033187
util,0.8,LC3_B,0.15164206941903896,4.917450857251416,0.014120171313133338,0.13833656098033187
util,0.8500000000000001,IL_A,0.21147000879540576,5.184732178919544,0.013289573000596081,0.19894717732368145
util,0.8500000000000001,IL_B,0.21147000879540576,5.665424618773663,0.013289573000596081,0.19894717732368145
util,0.8500000000000001,FA_A,0.15431973935639112,4.486381801638287,0.013289573000596081,0.1417969078846668
util,0.8500000000000001,FA_B,0.15431973935639112,4.967074241492407,0.013289573000596081,0.1417969078846668
util,0.8500000000000001,BC_A,0.16735231461691216,6.349501397492796,0.013289573000596081,0.15482948314518785
util,0.8500000000000001,BC_B,0.14736717510570743,5.1808108532741,0.013289573000596081,0.13484434363398312
util,0.8500000000000001,LC3_A,0.15085939245205618,4.436758417397297,0.013289573000596081,0.13833656098033187
util,0.8500000000000001,LC3_B,0.15085939245205618,4.917450857251416,0.013289573000596081,0.13833656098033187
util,0.9,IL_A,0.21077429593586552,5.184732178919544,0.012551263389451854,0.19894717732368145
